id,area,centroid
569,2223.585658330708,POINT(-75.2254911564468 40.07925538261339)
585,1543.9947197568097,POINT(-75.19624544400511 40.023871571268465)
2965,648.742587239431,POINT(-75.22525749550599 40.07182613337826)
5560,1901.4722827749943,POINT(-75.22563703858332 40.071892693259315)
5632,2072.30947161889,POINT(-75.21779654900506 40.05539356036927)
5723,4369.318034888164,POINT(-75.21071933201263 40.04135870413065)
5743,1041.2976864902569,POINT(-75.20171497626843 40.03638553848629)
5748,4487.227849285938,POINT(-75.19965560094033 40.032335923493264)
5750,2864.74433158632,POINT(-75.19774688174765 40.028097009345714)
5754,1153.463557312923,POINT(-75.19535802568925 40.02458303817872)
5756,5796.699182198456,POINT(-75.19590039156941 40.0240740504305)
5761,4082.037125575476,POINT(-75.20644297956503 40.01549019646078)
5763,6867.244004379119,POINT(-75.20670505119723 40.01492608913129)
7021,2163.149157579117,POINT(-75.22052865480306 40.06721273483635)
